file,niqe_hazy,niqe_aod,brisque_hazy,brisque_aod
01_outdoor_hazy.jpg,4.143073815054196,3.46074169813145,28.07733154296875,21.52801513671875
02_outdoor_hazy.jpg,4.1087283571068145,3.3489970296662532,22.40399169921875,17.94500732421875
03_outdoor_hazy.JPG,4.8801301300583635,4.177926300815473,17.15740966796875,11.21014404296875
04_outdoor_hazy.jpg,4.614898606467893,3.8975656428203753,22.45819091796875,16.34979248046875
05_outdoor_hazy.jpg,5.460845611587125,4.709773231020721,20.29315185546875,11.94842529296875
06_outdoor_hazy.jpg,4.090051387248448,3.297519838128196,21.75994873046875,16.56561279296875
07_outdoor_hazy.jpg,4.248881239490428,3.2127087386761297,22.02850341796875,15.97137451171875
08_outdoor_hazy.jpg,4.859338715341942,4.044120768259333,27.21405029296875,19.46502685546875
09_outdoor_hazy.jpg,4.875594239838807,4.378305236211112,21.91229248046875,16.67108154296875
10_outdoor_hazy.jpg,4.361474702611874,3.5334527268170137,21.49041748046875,14.53875732421875
11_outdoor_hazy.jpg,3.8238908917881287,3.3019803623530066,15.81317138671875,19.30731201171875
12_outdoor_hazy.jpg,3.892599356057642,3.263798168368313,23.69549560546875,19.54852294921875
13_outdoor_hazy.jpg,5.067740804045625,4.277840013073457,27.39862060546875,19.32098388671875
14_outdoor_hazy.jpg,4.225787065733592,3.5946326649566593,25.36883544921875,19.47869873046875
15_outdoor_hazy.jpg,5.16562008827815,4.440717617490215,22.81561279296875,16.93572998046875
16_outdoor_hazy.jpg,4.504863249043864,4.0995211960678715,21.46502685546875,17.57244873046875
17_outdoor_hazy.jpg,4.465539592641238,3.965064100133243,21.04656982421875,17.78924560546875
18_outdoor_hazy.jpg,3.7927454160015204,3.2836446254575185,20.57098388671875,16.48651123046875
19_outdoor_hazy.jpg,3.795071719897253,3.502916722238468,23.13153076171875,20.20184326171875
20_outdoor_hazy.jpg,4.178239433739534,3.644056663843748,20.73358154296875,17.94793701171875
21_outdoor_hazy.JPG,5.284720470955238,4.679598231099683,21.59686279296875,15.16033935546875
22_outdoor_hazy.jpg,3.76211855558125,3.544653813378727,20.97772216796875,18.77850341796875
23_outdoor_hazy.jpg,3.414724845940048,2.9092042691728275,23.61151123046875,20.86883544921875
24_outdoor_hazy.jpg,4.385942188072085,3.5163082262775545,27.08953857421875,19.37615966796875
25_outdoor_hazy.jpg,4.776823998320632,4.3623399771652025,23.74822998046875,16.52508544921875
26_outdoor_hazy.jpg,5.643327034662123,4.715859478174085,33.50848388671875,25.82733154296875
27_outdoor_hazy.jpg,4.184060203068081,3.7595600632906465,22.13006591796875,16.38641357421875
28_outdoor_hazy.jpg,4.893346166127226,4.268335316292794,25.08514404296875,16.70672607421875
29_outdoor_hazy.jpg,5.4648829319979155,4.681741929541765,30.10858154296875,22.20379638671875
30_outdoor_hazy.jpg,3.5212901153952174,3.173321183462543,21.48944091796875,18.76287841796875
31_outdoor_hazy.jpg,3.712831748905379,3.2094175379197516,26.48358154296875,21.85711669921875
32_outdoor_hazy.jpg,3.6744833219145123,3.187045678636433,21.48455810546875,18.17303466796875
33_outdoor_hazy.jpg,4.35843992158399,3.8976559150931562,25.22674560546875,19.22186279296875
34_outdoor_hazy.jpg,3.7137264574105266,3.175084259466983,20.37469482421875,17.40350341796875
35_outdoor_hazy.jpg,2.8625974985034133,2.880334419455581,23.70623779296875,21.62762451171875
36_outdoor_hazy.jpg,4.056260295725553,3.150504845711037,22.18865966796875,15.94256591796875
37_outdoor_hazy.jpg,3.713966267674042,2.8565620935306075,18.28533935546875,15.47869873046875
38_outdoor_hazy.jpg,4.488539325286452,3.8186623194885647,28.94354248046875,22.29217529296875
39_outdoor_hazy.jpg,4.8483473818954685,4.284636574630899,20.59735107421875,17.14227294921875
40_outdoor_hazy.jpg,4.602731544819077,4.111047024281257,22.64862060546875,14.86004638671875
41_outdoor_hazy.jpg,3.9395925009150594,3.5214158285184705,24.77850341796875,19.73358154296875
42_outdoor_hazy.jpg,4.269975752899013,3.6830767668877504,22.99725341796875,13.83465576171875
43_outdoor_hazy.jpg,3.8662487362400557,3.623703352824689,17.95379638671875,13.77362060546875
44_outdoor_hazy.jpg,3.3806866319166615,3.128097846049957,17.19696044921875,16.63787841796875
45_outdoor_hazy.jpg,4.5741771233659225,4.046090497623998,24.70526123046875,18.27215576171875
